Neigborhood,Total
Agincourt/Malvern,1408
Ajax/Pickering,1412
Alderwood,1409
Aurora,1492
Banbury-Don Mills/York Mills,1629
Bathurst Manor,1483
Bay Street Corridor,2483
Bayview Village,1830
Bedford Park-Nortown,1429
Beechborough-Greenbrook,1206
Bendale,1373
Birchcliffe-Cliffside,1466
Black Creek,1421
Bradford/West Gwillimbury/New Tecumseth,1128
Brampton (East),1562
Brampton (West),1389
Briar Hill-Belgravia,1480
Broadview North,1422
Bronte,1718
Brookhaven-Amesbury,1440
Cabbagetown-South St. James Town,1541
Caledonia-Fairbank,1206
Casa Loma,2005
Churchill Meadows/Erin Mills,1749
Church-Yonge Corridor,1691
Clairlea-Birchmount,1219
Clanton Park,1454
Clarkson/Lorne Park,1390
Cliffcrest,1434
Cooksville,1495
Crescent Town,1326
Danforth Village-East York,1296
Don Valley Village/Pleasant View,1567
Dorset Park,1628
Dovercourt/Davenport/Junction,1354
Downsview,1303
Dufferin Grove/Little Portugal,1380
East End-Danforth,1407
East Gwillimbury/Newmarket,1391
Edenbridge-Humber Valley,1842
Eglinton East,1397
Elms-Old Rexdale,1871
Englemount-Lawrence,1407
Eringate-Centennial-West Deane,1513
Etobicoke West Mall,1669
Flemingdon Park,1474
Forest Hill North,1613
Forest Hill South,1598
Georgina,1211
Guildwood,1511
Henry Farm,1733
High Park North/Junction,1613
High Park-Swansea,1212
Humber Heights-Westmount,1657
Humewood-Cedarvale,1822
Ionview,1398
Islington/City Centre North,1658
Islington/City Centre South,1465
Kennedy Park,1383
Kensington-Chinatown,1527
Kingsview Village-The Westway,1482
L'Amoreaux/Steeles/Milliken,1365
Lansing-Westgate,1613
Lawrence Park North,1562
Lawrence Park South,1587
Leaside-Bennington,1520
Little Italy/Trinity-Bellwoods,1386
Long Branch,1171
Malton,1457
Maple Leaf,1376
Markham,1541
Meadowvale,1655
Milton/Halton Hills,1287
Mimico,1376
Mississauga Centre/Streetsville,1544
Moore Park,1911
Morningside,1400
Moss Park/Regent Park,1430
Mount Dennis,1384
Mount Olive-Silverstone-Jamestown/Thistletown,1597
Mount Pleasant East,1621
Mount Pleasant West,1695
New Toronto,1274
Oakridge,1365
Oakville (excl. Bronte),1689
Oakwood-Vaughan,1464
O'Connor-Parkview,1323
Old East York,1390
Orangeville/Mono,1274
Parkwoods-Donalda,1630
Playter Estates-Danforth,1414
Port Credit,1393
Rexdale-Kipling,1181
Richmond Hill/Vaughan/King,1500
Riverdale,1363
Rockcliffe-Smythe,1345
Roncesvalles,1241
Scarborough Village,1478
South Parkdale/King West,1343
St. Andrew-Windfields,1605
Stonegate-Queensway,1421
Tam O'Shanter-Sullivan,1354
The Beaches,1386
Thorncliffe Park,1492
University/Annex,1696
Uxbridge,1285
Victoria Village,1464
Waterfront Communities -The Island,2334
West Hill,1477
West Humber-Clairville,1494
Westminster-Branson,1587
Weston,1371
Wexford-Maryvale,1304
Willowdale East/Newtonbrook East,1688
Willowdale West/Newtonbrook West,1655
Willowridge-Martingrove-Richview,1961
Woburn,1385
Woodbine Corridor/Greenwood-Coxwell,1083
Yonge-Eglinton,1585
Yonge-St. Clair,1911
Yorkdale-Glen Park,1321
Toronto,1536
